Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;TLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;Total não Individualizado;Total Exterior;
INDUSTRIAL DO BRASIL;50.988;b1;C;2;S4;199;SAO PAULO;SP;03/2020;2.869.327;1.879.175;0;470;0;0;48.704;3.926;524.772;0;3.900;0;0;0;231.068;39;177.272
SICOOB COCRED COOPERATIVA DE CRÉDITO;71.328.769;b3S;I;2;S4;9;SERTAOZINHO;SP;03/2020;2.821.414;1.416.617;2.229;0;0;0;2.313;1.374.155;89;0;0;0;0;0;26.007;4;0
BANCO DO ESTADO DE SERGIPE S.A.;13.009.717;b1;I;1;S4;8;ARACAJU;SE;03/2020;2.779.343;2.229.703;395.396;316;0;0;0;94.225;0;0;1.081;0;0;0;58.405;218;0
PERNAMBUCANAS FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;43.180.355;n1;I;2;S4;14;SAO PAULO;SP;03/2020;2.744.975;2.691.154;0;0;0;0;0;0;0;0;0;0;0;0;0;53.821;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UÃO PARANÁ/SÃO PAULO - SICREDI UÃO PR/SP;79.342.069;b3S;I;2;S4;9;MARINGA;PR;03/2020;2.590.430;2.028.110;294.310;0;0;0;0;267.128;0;0;0;0;0;842;0;40;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO OURO VERDE DO MATO GROSSO - SICREDI OURO VERDE MT;26.529.420;b3S;I;2;S4;9;LUCAS DO RIO VERDE;MT;03/2020;2.539.725;1.855.654;39.297;151;0;0;274.489;370.122;0;0;0;0;0;0;0;13;0
SOCIETE GENERALE;31.859;b1;C;3;S3;199;SAO PAULO;SP;03/2020;2.536.537;1.743.023;0;0;0;0;46.613;746.901;0;0;0;0;0;0;0;0;0
SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;29.030.467;b1;I;3;S4;8;SAO PAULO;SP;03/2020;2.534.690;579.904;0;0;0;0;1.817.456;137.329;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VANGUARDA DA REGIÃO DAS CATARATAS DO IGUAÇU E VALE DO PARAÍBA - SICREDI VANGUARDA PR/SP/RJ;78.414.067;b3S;I;2;S4;9;MEDIANEIRA;PR;03/2020;2.355.418;1.521.884;197.059;0;0;0;0;636.455;0;0;0;0;0;0;0;19;0
CREFISA;52.010;b1;C;2;S4;199;SAO PAULO;SP;03/2020;2.252.901;2.241.456;0;0;0;0;0;10.854;0;0;0;0;0;0;0;590;0
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655.522;n1;I;2;S3;25;BRASILIA;DF;03/2020;2.105.972;293.531;1.730.689;0;0;0;0;0;0;0;0;81.749;0;0;0;3;0
MIZUHO;51.554;b1;I;3;S4;199;SAO PAULO;SP;03/2020;2.059.371;998.696;0;0;0;0;0;203.145;0;0;0;0;0;0;0;0;857.530
BANCO TRIANGULO S.A.;17.351.180;b1;I;2;S4;8;UBERLANDIA;MG;03/2020;2.004.120;1.615.032;0;26.236;10.060;0;0;346.373;1.360;0;0;0;0;0;0;5.059;0
